Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made,Cluster
100000,2,1,1,0,0
50000,3,0,10,9,2
50000,7,1,3,4,0
30000,5,1,1,4,0
100000,6,0,12,3,1
20000,3,0,1,8,2
100000,5,0,11,2,1
15000,3,0,1,1,2
5000,2,0,2,2,2
3000,4,0,1,7,2
10000,4,0,5,5,2
13000,3,0,2,7,2
11000,1,2,5,9,2
9000,1,1,5,6,2
6000,2,2,4,6,2
8000,2,0,5,7,2
15000,2,1,2,4,2
8000,2,0,3,4,2
11000,2,2,2,7,2
19000,4,1,5,8,2
5000,3,2,5,5,2
16000,2,0,3,7,2
6000,4,1,4,6,2
9000,1,1,3,4,2
8000,2,0,2,10,2
18000,1,1,5,10,2
16000,3,0,5,9,2
9000,2,2,2,10,2
5000,2,0,4,6,2
8000,4,0,4,7,2
16000,3,1,5,4,2
11000,3,1,5,6,2
6000,1,0,5,10,2
16000,1,0,5,6,2
8000,4,1,3,10,2
19000,2,0,4,4,2
9000,3,1,4,10,2
17000,2,0,4,6,2
13000,4,1,3,10,2
10000,2,2,4,9,2
19000,4,2,5,9,2
10000,1,1,2,7,2
16000,4,2,3,4,2
20000,2,0,4,4,2
11000,4,2,4,5,2
14000,4,1,4,9,2
5000,1,2,2,5,2
11000,1,2,2,6,2
6000,4,0,2,8,2
14000,3,2,2,6,2
13000,1,0,5,9,2
6000,2,1,5,5,2
17000,2,1,5,8,2
9000,3,0,5,9,2
14000,2,0,4,9,2
6000,1,2,2,4,2
6000,1,0,2,5,2
6000,2,0,2,10,2
9000,1,0,4,7,2
19000,4,1,4,9,2
20000,4,1,4,7,2
18000,1,2,2,9,2
5000,1,0,2,4,2
14000,3,0,4,6,2
12000,1,0,5,9,2
16000,1,1,4,4,2
19000,2,0,3,6,2
9000,4,2,2,6,2
7000,1,2,4,10,2
20000,1,2,3,7,2
14000,1,2,4,7,2
6000,3,2,2,7,2
11000,3,1,2,6,2
19000,3,1,3,6,2
7000,2,0,5,8,2
16000,3,1,4,6,2
17000,1,2,4,6,2
13000,3,1,4,4,2
6000,2,0,4,10,2
15000,1,1,2,7,2
20000,2,2,4,8,2
7000,3,1,5,5,2
13000,1,1,2,5,2
13000,3,1,4,6,2
9000,3,2,4,5,2
10000,1,1,4,5,2
6000,4,1,3,7,2
5000,4,1,2,5,2
8000,1,1,4,8,2
7000,4,2,4,8,2
13000,2,1,4,6,2
13000,1,1,2,10,2
5000,1,1,4,6,2
8000,1,2,5,7,2
20000,2,2,4,4,2
5000,1,2,5,7,2
18000,3,2,3,6,2
15000,2,0,5,4,2
13000,1,1,4,9,2
5000,2,1,4,6,2
11000,1,0,5,6,2
11000,1,1,5,9,2
10000,4,1,5,10,2
13000,1,0,3,7,2
17000,2,1,2,10,2
12000,2,1,4,9,2
20000,2,1,5,5,2
5000,2,2,2,6,2
8000,3,2,2,6,2
18000,4,2,3,8,2
15000,4,2,3,5,2
12000,2,0,4,9,2
18000,4,1,3,10,2
7000,4,1,2,4,2
18000,4,0,3,6,2
7000,2,2,3,7,2
18000,1,0,2,7,2
17000,4,0,4,7,2
14000,3,1,4,5,2
9000,3,0,4,9,2
10000,4,2,4,6,2
13000,3,0,5,10,2
10000,2,2,2,4,2
17000,1,1,4,8,2
5000,2,2,3,7,2
14000,2,1,5,5,2
20000,4,1,4,9,2
6000,3,2,3,9,2
8000,4,1,5,4,2
9000,3,1,4,6,2
18000,3,1,5,6,2
9000,3,0,2,5,2
12000,4,0,2,6,2
10000,3,1,5,9,2
